image,split_path,gt_load_number,pred_load_number,WER_load_number,CER_load_number,gt_pickup_location,pred_pickup_location,WER_pickup_location,CER_pickup_location,gt_pickup_time,pred_pickup_time,WER_pickup_time,CER_pickup_time,gt_dropoff_location,pred_dropoff_location,WER_dropoff_location,CER_dropoff_location,gt_dropoff_time,pred_dropoff_time,WER_dropoff_time,CER_dropoff_time,gt_total_rate,pred_total_rate,WER_total_rate,CER_total_rate,gt_rate_per_mile,pred_rate_per_mile,WER_rate_per_mile,CER_rate_per_mile
17.jpg,/content/LoREx-160/rate_confirmations/images/train/17.jpg,113TC2VC1,,1.0,1.0,"MDW7 MONEE, ILLIONOIS 60449",,1.0,1.0,"Thu, May 9, 11:00 CDT","Thu, May 3, 1:00 ",0.6,0.2857142857142857,"OMA2 OMAHA, Nebraska 68138",,1.0,1.0,"Thu, May 9, 21:30 CDT",,1.0,1.0,"$769,64","$769,64",0.0,0.0,$1.60/mi,$1.60/mi,0.0,0.0
18.jpg,/content/LoREx-160/rate_confirmations/images/train/18.jpg,1112426R4,1112426R4,0.0,0.0,"OAK5 NEWARK, CALIFORNIA 94560",,1.0,1.0,"Thu, May 9, 01:45 PDT","Thu, May 8, 01:45 ",0.4,0.23809523809523808,"AZAZ PHOENIX, Arizona 85043",,1.0,1.0,"Thu, May 9, 16:44 MST","Thu, May 9, 16:44 MST",0.0,0.0,"$1 435,828","$1435,828",1.0,0.1,$2.00/mi,$2.00/mi,0.0,0.0
19.png,/content/LoREx-160/rate_confirmations/images/train/19.png,11188VHHK,1118BVHHK,1.0,0.1111111111111111,"TUS2 TUCSON, Arizona 85756",,1.0,1.0,"Wed, May 08, 03:45 MST",,1.0,1.0,"TCY9 OAKLEY, California 94561",,1.0,1.0,"Wed, May 08, 22:46 PDT",,1.0,1.0,"$1 675,52","$1675,52",1.0,0.1111111111111111,$1.92/mi,,1.0,1.0
20.png,/content/LoREx-160/rate_confirmations/images/train/20.png,113CYW4VG,113CYWAVG,1.0,0.1111111111111111,"MCOS5 DAVENPORT, FLORIDA 33897",,1.0,1.0,"Wed, May 1, 00:13 EDT",,1.0,1.0,"MEM2 BYHALIA, Mississippi 38611",,1.0,1.0,"Thu, May 2, 00:38 CDT",,1.0,1.0,"$974,04","$974,04",0.0,0.0,$1.31/mi,,1.0,1.0
21.png,/content/LoREx-160/rate_confirmations/images/train/21.png,115KYTQM,,1.0,1.0,"MOB5 THEODORE, AL 36582",,1.0,1.0,"Sun, Dec 17, 20:25 CST",,1.0,1.0,"JAN1 CANTON, Mississippi 39046",,1.0,1.0,"Mon, Dec 18, 01:33 CST",,1.0,1.0,"$488,22",$48822,1.0,0.14285714285714285,$2.26/mi,,1.0,1.0
22.jpg,/content/LoREx-160/rate_confirmations/images/train/22.jpg,111YH4536,111YH4536,0.0,0.0,"BOS5 STOUGHTON, MASSACH...",,1.0,1.0,"Wed, Dec 13, 05:00 EST","Wed, Dec 13, 05:00 EST",0.0,0.0,"MTN2 ABERDEEN, Maryland 2...",,1.0,1.0,"Wed, Dec 13, 14:08 EST","Wed, Dec 13, 14:08 EST",0.0,0.0,$1 300,$1300,1.0,0.16666666666666666,$3.34/mi,$3.34/mi,0.0,0.0
23.png,/content/LoREx-160/rate_confirmations/images/train/23.png,1168D431H,1168D431H,0.0,0.0,"MKC6 KANSAS CITY, KANSAS 66102",,1.0,1.0,"Mon, Dec 18, 00:00 CST","Mon, Dec 18, 0:00 CST",0.2,0.045454545454545456,"MKE5 KENOSHA, WISCONSIN 53144",,1.0,1.0,"Mon, Dec 18, 10:51 CST","Mon, Dec 18, 10:51 CST",0.0,0.0,"$1 550,13","$1550,13",1.0,0.1111111111111111,$2.75/mi,$2.75/mi,0.0,0.0
24.png,/content/LoREx-160/rate_confirmations/images/train/24.png,1145645R,114516458,1.0,0.25,"FOE1 KANSAS CITY, Kansas 66109",,1.0,1.0,"Mon, Dec 18, 00:45 CST",,1.0,1.0,"MKE5 KENOSHA, WISCONSIN 53144",,1.0,1.0,"Mon, Dec 18, 10:53 CST",,1.0,1.0,"$1 621,25",,1.0,1.0,$2.87/mi,,1.0,1.0
25.png,/content/LoREx-160/rate_confirmations/images/train/25.png,T-11348Z9N9,T-11348Z9N9,0.0,0.0,"GRR1 CALEDONIA, MI 49316","GRR1 CALEDONIA, MI 49316",0.0,0.0,"Sun, Dec 3, 08:50 EST",,1.0,1.0,"MQJ1 GREENFIELD, Indiana 46140","35 EST CALEDONIA, MI 49316",1.25,0.8,"Sun, Dec 3, 20:03 EST",,1.0,1.0,$2 300,$2300,1.0,0.16666666666666666,$5.03/mi,$603/mi,1.0,0.25
26.png,/content/LoREx-160/rate_confirmations/images/train/26.png,T-114FPXRPV,T-114FPXKPV,1.0,0.09090909090909091,"BHM1 BESSSEMER, Alabama 35022",,1.0,1.0,"Mon, Dec 18, 02:05 CST","Mon, Dec 18, 02:05 CST",0.0,0.0,"AGS5 APPLING, Georgia 30802",,1.0,1.0,"Mon, Dec 18, 10:28 EST","Mon, Dec 18, 10:28 EST",0.0,0.0,"$1 015,78","$1015,78",1.0,0.1111111111111111,$3.36/mi,$5.36/mi,1.0,0.125
